plate,timestamp
UNKNOWN,2026-04-02 13:36:01
UNKNOWN,2026-04-02 13:38:21
"RAG65SSR
",2026-04-02 13:40:26
"F
",2026-04-02 13:41:48
"WF
",2026-04-02 13:41:50
"RAD4437
",2026-04-02 13:43:27
RAD327P,2026-04-02 13:44:13
"RAG6SSR
",2026-04-02 15:48:39
"RAFS43R
",2026-04-02 15:51:12
"RAI22
",2026-04-02 15:52:42
UNKNOWN,2026-04-02 15:52:48
RAI227E,2026-04-02 15:52:52
"RADA9GP
",2026-04-02 15:53:41
"RADAIOP
",2026-04-02 15:53:44
"RADAIGP
",2026-04-02 15:53:47
"RADA9GP
",2026-04-02 15:53:57
"RADAIGP
",2026-04-02 15:53:59
"RADAIGP
",2026-04-02 15:54:02
"RADI9GP
",2026-04-02 15:54:05
"RADI9OP
",2026-04-02 16:00:44
RAD295T,2026-04-02 16:02:08
